timestamp_utc,route,status_code,latency_ms,error
2026-04-14T15:13:24.835314+00:00,/health,200,1.415,
2026-04-14T15:13:24.943397+00:00,/,200,82.344,
2026-04-14T15:13:53.824891+00:00,/,200,1.111,
2026-04-14T15:13:53.843862+00:00,/web/style.css,200,3.298,
2026-04-14T15:13:53.844866+00:00,/web/app.js,200,3.424,
2026-04-14T15:13:53.947649+00:00,/favicon.ico,404,0.468,
2026-04-14T15:14:03.059884+00:00,/predict,200,1977.443,
2026-04-14T15:14:15.067845+00:00,/predict,200,48.614,
2026-04-14T15:14:17.957971+00:00,/predict,200,58.887,
2026-04-14T15:14:21.097398+00:00,/predict,200,37.528,
2026-04-14T15:14:46.931851+00:00,/predict,200,18.9,
2026-04-14T15:15:37.090203+00:00,/predict,200,15.042,
2026-04-14T15:15:37.134351+00:00,/predict,200,16.761,
2026-04-14T15:15:37.152193+00:00,/predict,200,15.102,
2026-04-14T15:15:37.168492+00:00,/predict,200,15.188,
2026-04-14T15:15:42.307515+00:00,/predict,200,21.166,
2026-04-14T15:15:43.260497+00:00,/predict,200,31.308,
2026-04-14T15:15:51.340019+00:00,/predict,200,43.538,
2026-04-14T15:15:54.050826+00:00,/predict,200,74.231,
2026-04-14T15:15:57.465318+00:00,/predict,200,25.072,
2026-04-14T15:16:03.362825+00:00,/predict,200,30.106,
2026-04-14T15:16:05.734190+00:00,/predict,200,30.468,
2026-04-14T15:16:52.176358+00:00,/predict,200,27.807,
2026-04-14T15:17:04.469353+00:00,/predict,200,37.921,
2026-04-14T15:17:07.280285+00:00,/predict,200,16.987,
2026-04-14T15:17:23.879487+00:00,/predict,200,16.145,
2026-04-14T15:18:18.235068+00:00,/predict,200,16.008,
2026-04-14T15:19:02.901503+00:00,/.well-known/appspecific/com.chrome.devtools.json,404,0.961,
2026-04-14T15:19:02.906502+00:00,/web/style.css,304,2.141,
2026-04-14T15:19:58.412399+00:00,/predict,200,29.833,
2026-04-14T15:43:49.394889+00:00,/,200,1.302,
2026-04-14T15:43:49.415508+00:00,/web/style.css,200,3.614,
2026-04-14T15:43:49.417507+00:00,/web/app.js,200,4.837,
2026-04-14T15:43:54.087418+00:00,/predict,200,46.901,
2026-04-14T15:43:55.231459+00:00,/predict,200,51.783,
2026-04-14T15:43:58.421113+00:00,/predict,200,44.002,
2026-04-14T15:44:00.449187+00:00,/predict,200,41.936,
2026-04-14T15:44:02.833113+00:00,/predict,200,29.173,
2026-04-14T15:44:04.549010+00:00,/predict,200,33.329,
2026-04-14T15:44:55.722204+00:00,/predict,200,24.226,
2026-04-14T15:44:58.783911+00:00,/predict,200,26.991,
2026-04-14T15:45:01.183694+00:00,/predict,200,40.141,
2026-04-14T15:45:03.633583+00:00,/predict,200,45.782,
2026-04-14T15:45:06.214817+00:00,/predict,200,24.772,
2026-04-14T15:45:08.828942+00:00,/predict,200,36.221,
2026-04-14T15:45:11.822117+00:00,/predict,200,34.268,
2026-04-14T15:45:14.221159+00:00,/predict,200,32.884,
2026-04-14T15:45:15.183946+00:00,/predict,200,24.87,
2026-04-14T15:45:15.427359+00:00,/predict,200,44.363,
2026-04-14T15:45:17.252692+00:00,/predict,200,15.774,
2026-04-14T15:45:18.574669+00:00,/predict,200,34.592,
2026-04-14T15:48:32.564382+00:00,/,200,1.848,
2026-04-14T15:48:32.594577+00:00,/web/style.css,304,3.935,
2026-04-14T15:48:32.597612+00:00,/web/app.js,200,5.259,
2026-04-14T15:48:32.605672+00:00,/model-info,404,0.538,
2026-04-14T15:48:44.785232+00:00,/,200,864.125,
2026-04-14T15:48:44.808408+00:00,/web/app.js,304,1.821,
2026-04-14T15:48:44.825493+00:00,/model-info,200,10.429,
2026-04-14T15:48:58.470589+00:00,/predict,200,16707.71,
2026-04-14T15:48:58.473593+00:00,/predict,200,5281.607,
2026-04-14T15:48:58.494629+00:00,/model-info,200,2.438,
2026-04-14T15:49:13.687634+00:00,/predict,200,25.84,
2026-04-14T15:49:13.695745+00:00,/model-info,200,2.462,
